Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20185208,Sem_8,82.0,100.0,,95.0,87.0,90.0,84.0,89.66666667,538,IDEPT4132,Aerospace Engineering,A
SID20141516,Sem_8,80.0,82.0,100.0,95.0,83.0,99.0,78.0,88.14285714,617,IDEPT5528,Aerospace Engineering,A
SID20161379,Sem_8,99.0,99.0,99.0,66.0,94.0,,62.0,86.5,519,IDEPT4938,Aerospace Engineering,A
SID20164596,Sem_8,87.0,65.0,83.0,98.0,99.0,97.0,74.0,86.14285714,603,IDEPT5881,Aerospace Engineering,A
SID20144729,Sem_8,75.0,92.0,84.0,95.0,75.0,81.0,98.0,85.71428571,600,IDEPT4670,Aerospace Engineering,A
SID20183050,Sem_8,69.0,84.0,98.0,65.0,98.0,99.0,84.0,85.28571429,597,IDEPT5528,Aerospace Engineering,A
SID20185756,Sem_8,93.0,87.0,89.0,79.0,100.0,88.0,59.0,85.0,595,IDEPT4132,Aerospace Engineering,A
SID20152437,Sem_8,84.0,95.0,95.0,97.0,88.0,78.0,58.0,85.0,595,IDEPT1423,Aerospace Engineering,A
SID20186661,Sem_8,89.0,81.0,47.0,99.0,94.0,84.0,100.0,84.85714286,594,IDEPT1423,Aerospace Engineering,A
SID20189126,Sem_8,75.0,77.0,100.0,78.0,80.0,98.0,,84.66666667,508,IDEPT5528,Aerospace Engineering,A
SID20133823,Sem_8,70.0,81.0,99.0,68.0,98.0,96.0,80.0,84.57142857,592,IDEPT4670,Aerospace Engineering,A
SID20143823,Sem_8,99.0,81.0,86.0,69.0,88.0,76.0,91.0,84.28571429,590,IDEPT2054,Aerospace Engineering,A
SID20143823,Sem_8,99.0,81.0,86.0,69.0,88.0,76.0,91.0,84.28571429,590,IDEPT2054,Aerospace Engineering,A
SID20154800,Sem_8,82.0,89.0,88.0,69.0,98.0,87.0,77.0,84.28571429,590,IDEPT1537,Aerospace Engineering,A
SID20151227,Sem_8,100.0,100.0,62.0,80.0,87.0,95.0,63.0,83.85714286,587,IDEPT1423,Aerospace Engineering,A
SID20171710,Sem_8,72.0,98.0,92.0,86.0,73.0,99.0,66.0,83.71428571,586,IDEPT4938,Aerospace Engineering,A
SID20132913,Sem_8,90.0,100.0,71.0,88.0,97.0,98.0,42.0,83.71428571,586,IDEPT4132,Aerospace Engineering,A
