Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20153090,Sem_6,99.0,91.0,100.0,78.0,90.0,76.0,96.0,90.0,630,IDEPT7005,CE,A
SID20177678,Sem_6,93.0,94.0,90.0,72.0,96.0,80.0,94.0,88.42857143,619,IDEPT7005,CE,A
SID20144963,Sem_6,70.0,85.0,,99.0,99.0,78.0,94.0,87.5,525,IDEPT7005,CE,A
SID20152570,Sem_6,75.0,91.0,94.0,93.0,100.0,99.0,55.0,86.71428571,607,IDEPT5408,CE,A
SID20189909,Sem_6,91.0,88.0,92.0,80.0,67.0,93.0,94.0,86.42857143,605,IDEPT1142,CE,A
SID20159513,Sem_6,88.0,74.0,93.0,81.0,95.0,98.0,76.0,86.42857143,605,IDEPT1378,CE,A
SID20177033,Sem_6,58.0,100.0,88.0,80.0,91.0,96.0,90.0,86.14285714,603,IDEPT7783,CE,A
SID20148575,Sem_6,96.0,73.0,90.0,89.0,81.0,91.0,81.0,85.85714286,601,IDEPT8313,CE,A
SID20138530,Sem_6,98.0,49.0,95.0,69.0,98.0,97.0,94.0,85.71428571,600,IDEPT1825,CE,A
SID20176439,Sem_6,79.0,99.0,82.0,85.0,93.0,72.0,90.0,85.71428571,600,IDEPT7783,CE,A
SID20143108,Sem_6,89.0,64.0,70.0,97.0,93.0,89.0,95.0,85.28571429,597,IDEPT1378,CE,A
SID20173300,Sem_6,57.0,95.0,89.0,98.0,77.0,91.0,87.0,84.85714286,594,IDEPT1533,CE,A
SID20131811,Sem_6,75.0,95.0,82.0,66.0,97.0,76.0,96.0,83.85714286,587,IDEPT8379,CE,A
SID20175001,Sem_6,86.0,,82.0,82.0,85.0,85.0,82.0,83.66666667,502,IDEPT1825,CE,A
SID20176117,Sem_6,97.0,99.0,70.0,72.0,96.0,57.0,94.0,83.57142857,585,IDEPT5408,CE,A
SID20144373,Sem_6,88.0,79.0,54.0,93.0,,95.0,92.0,83.5,501,IDEPT1378,CE,A
SID20137385,Sem_6,94.0,63.0,98.0,45.0,96.0,98.0,90.0,83.42857143,584,IDEPT7783,CE,A
