Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20134563,Sem_7,85.0,84.0,100.0,97.0,89.0,60.0,87.0,86.0,602,IDEPT1388,EE ,A
SID20172101,Sem_7,88.0,96.0,84.0,95.0,89.0,69.0,72.0,84.71428571,593,IDEPT1388,EE ,A
SID20146962,Sem_7,83.0,96.0,85.0,100.0,54.0,78.0,83.0,82.71428571,579,IDEPT1367,EE ,A
SID20173715,Sem_7,99.0,50.0,80.0,87.0,93.0,86.0,83.0,82.57142857,578,IDEPT1388,EE ,A
SID20146425,Sem_7,86.0,41.0,68.0,,100.0,99.0,100.0,82.33333333,494,IDEPT1367,EE ,A
SID20136655,Sem_7,90.0,71.0,89.0,79.0,96.0,87.0,56.0,81.14285714,568,IDEPT1388,EE ,A
SID20185105,Sem_7,54.0,84.0,93.0,87.0,80.0,88.0,80.0,80.85714286,566,IDEPT1367,EE ,A
SID20169404,Sem_7,86.0,78.0,87.0,,67.0,72.0,92.0,80.33333333,482,IDEPT1388,EE ,A
SID20147463,Sem_7,67.0,94.0,92.0,70.0,69.0,88.0,76.0,79.42857143,556,IDEPT1367,EE ,A
SID20163541,Sem_7,86.0,57.0,,80.0,99.0,93.0,61.0,79.33333333,476,IDEPT1367,EE ,A
SID20165909,Sem_7,70.0,99.0,67.0,76.0,,97.0,66.0,79.16666667,475,IDEPT1367,EE ,A
SID20151828,Sem_7,77.0,66.0,78.0,64.0,74.0,100.0,95.0,79.14285714,554,IDEPT1388,EE ,A
SID20169207,Sem_7,71.0,93.0,95.0,64.0,94.0,54.0,83.0,79.14285714,554,IDEPT1388,EE ,A
SID20169543,Sem_7,82.0,95.0,42.0,57.0,89.0,96.0,93.0,79.14285714,554,IDEPT1367,EE ,A
SID20162474,Sem_7,82.0,48.0,97.0,70.0,83.0,95.0,78.0,79.0,553,IDEPT1388,EE ,A
SID20155018,Sem_7,73.0,100.0,87.0,65.0,96.0,59.0,73.0,79.0,553,IDEPT1367,EE ,A
SID20155833,Sem_7,75.0,86.0,92.0,79.0,,87.0,53.0,78.66666667,472,IDEPT1367,EE ,A
SID20149730,Sem_7,80.0,70.0,83.0,92.0,78.0,98.0,48.0,78.42857143,549,IDEPT1367,EE ,A
SID20134923,Sem_7,73.0,93.0,88.0,69.0,42.0,87.0,96.0,78.28571429,548,IDEPT1388,EE ,A
SID20145230,Sem_7,86.0,70.0,,67.0,73.0,73.0,100.0,78.16666667,469,IDEPT1367,EE ,A
SID20182024,Sem_7,87.0,97.0,99.0,68.0,64.0,84.0,48.0,78.14285714,547,IDEPT1388,EE ,A
SID20143461,Sem_7,72.0,45.0,99.0,99.0,77.0,97.0,56.0,77.85714286,545,IDEPT1367,EE ,A
SID20173629,Sem_7,75.0,99.0,96.0,41.0,50.0,98.0,85.0,77.71428571,544,IDEPT1367,EE ,A
SID20141740,Sem_7,47.0,90.0,46.0,76.0,97.0,92.0,95.0,77.57142857,543,IDEPT1367,EE ,A
SID20146971,Sem_7,97.0,64.0,50.0,74.0,76.0,100.0,82.0,77.57142857,543,IDEPT1367,EE ,A
SID20174121,Sem_7,97.0,63.0,91.0,78.0,67.0,60.0,87.0,77.57142857,543,IDEPT1367,EE ,A
SID20185788,Sem_7,55.0,87.0,100.0,93.0,,68.0,61.0,77.33333333,464,IDEPT1367,EE ,A
SID20155429,Sem_7,87.0,57.0,73.0,94.0,81.0,94.0,55.0,77.28571429,541,IDEPT1388,EE ,A
SID20187217,Sem_7,70.0,75.0,59.0,85.0,84.0,86.0,81.0,77.14285714,540,IDEPT1367,EE ,A
SID20154210,Sem_7,75.0,69.0,96.0,95.0,52.0,71.0,81.0,77.0,539,IDEPT1367,EE ,A
SID20138311,Sem_7,58.0,99.0,71.0,92.0,40.0,96.0,82.0,76.85714286,538,IDEPT1388,EE ,A
SID20138022,Sem_7,89.0,83.0,58.0,44.0,69.0,98.0,97.0,76.85714286,538,IDEPT1388,EE ,A
SID20157467,Sem_7,98.0,78.0,55.0,65.0,78.0,,87.0,76.83333333,461,IDEPT1388,EE ,A
SID20151142,Sem_7,57.0,55.0,91.0,79.0,90.0,66.0,99.0,76.71428571,537,IDEPT1367,EE ,A
SID20173232,Sem_7,84.0,66.0,87.0,41.0,90.0,70.0,98.0,76.57142857,536,IDEPT1388,EE ,A
SID20153272,Sem_7,97.0,51.0,,75.0,86.0,53.0,96.0,76.33333333,458,IDEPT1367,EE ,A
SID20161432,Sem_7,90.0,95.0,41.0,98.0,70.0,59.0,80.0,76.14285714,533,IDEPT1367,EE ,A
SID20161432,Sem_7,90.0,95.0,41.0,98.0,70.0,59.0,80.0,76.14285714,533,IDEPT1367,EE ,A
SID20172675,Sem_7,82.0,45.0,70.0,87.0,80.0,85.0,83.0,76.0,532,IDEPT1388,EE ,A
SID20168953,Sem_7,99.0,80.0,93.0,94.0,70.0,44.0,51.0,75.85714286,531,IDEPT1367,EE ,A
SID20187781,Sem_7,,92.0,77.0,57.0,56.0,96.0,77.0,75.83333333,455,IDEPT1388,EE ,A
SID20181906,Sem_7,93.0,69.0,78.0,89.0,,59.0,66.0,75.66666667,454,IDEPT1367,EE ,A
SID20158517,Sem_7,64.0,91.0,60.0,90.0,96.0,71.0,56.0,75.42857143,528,IDEPT1367,EE ,A
SID20185125,Sem_7,96.0,60.0,64.0,93.0,49.0,88.0,77.0,75.28571429,527,IDEPT1367,EE ,A
SID20152994,Sem_7,64.0,98.0,52.0,91.0,66.0,55.0,99.0,75.0,525,IDEPT1367,EE ,A
SID20172792,Sem_7,93.0,56.0,46.0,76.0,83.0,75.0,96.0,75.0,525,IDEPT1367,EE ,A
SID20182778,Sem_7,64.0,43.0,63.0,89.0,94.0,78.0,94.0,75.0,525,IDEPT1388,EE ,A
SID20182778,Sem_7,64.0,43.0,63.0,89.0,94.0,78.0,94.0,75.0,525,IDEPT1388,EE ,A
SID20149641,Sem_7,90.0,67.0,54.0,77.0,77.0,80.0,79.0,74.85714286,524,IDEPT1388,EE ,A
SID20168130,Sem_7,94.0,68.0,79.0,86.0,70.0,47.0,80.0,74.85714286,524,IDEPT1388,EE ,A
SID20145711,Sem_7,87.0,78.0,52.0,68.0,81.0,55.0,98.0,74.14285714,519,IDEPT1388,EE ,A
SID20171839,Sem_7,65.0,67.0,96.0,58.0,88.0,52.0,92.0,74.0,518,IDEPT1367,EE ,A
SID20155197,Sem_7,58.0,67.0,49.0,83.0,79.0,82.0,100.0,74.0,518,IDEPT1367,EE ,A
SID20189700,Sem_7,77.0,50.0,93.0,82.0,78.0,54.0,83.0,73.85714286,517,IDEPT1388,EE ,A
SID20177492,Sem_7,95.0,81.0,58.0,82.0,60.0,69.0,72.0,73.85714286,517,IDEPT1367,EE ,A
SID20146046,Sem_7,99.0,66.0,81.0,61.0,75.0,,61.0,73.83333333,443,IDEPT1388,EE ,A
SID20164217,Sem_7,,91.0,71.0,68.0,50.0,67.0,96.0,73.83333333,443,IDEPT1388,EE ,A
