Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name
SID20156776,Sem_2,69.0,94.0,89.0,87.0,87.0,97.0,100.0,89.0,623,IDEPT2601,ME 
SID20178475,Sem_2,79.0,86.0,,91.0,89.0,85.0,90.0,86.66666667,520,IDEPT8598,ME 
SID20157335,Sem_2,95.0,66.0,,98.0,98.0,72.0,88.0,86.16666667,517,IDEPT2601,ME 
SID20159647,Sem_2,99.0,57.0,74.0,96.0,90.0,91.0,95.0,86.0,602,IDEPT3868,ME 
SID20138292,Sem_2,98.0,67.0,83.0,96.0,64.0,91.0,100.0,85.57142857,599,IDEPT3868,ME 
SID20146783,Sem_2,97.0,99.0,91.0,64.0,67.0,82.0,94.0,84.85714286,594,IDEPT8598,ME 
SID20154760,Sem_2,86.0,61.0,92.0,92.0,98.0,75.0,90.0,84.85714286,594,IDEPT3868,ME 
SID20134016,Sem_2,56.0,97.0,89.0,93.0,84.0,71.0,99.0,84.14285714,589,IDEPT3868,ME 
SID20171723,Sem_2,72.0,80.0,94.0,98.0,79.0,96.0,68.0,83.85714286,587,IDEPT8598,ME 
SID20158525,Sem_2,42.0,92.0,95.0,90.0,81.0,91.0,94.0,83.57142857,585,IDEPT3868,ME 
SID20183070,Sem_2,81.0,91.0,93.0,91.0,42.0,91.0,93.0,83.14285714,582,IDEPT3868,ME 
SID20167845,Sem_2,91.0,82.0,81.0,61.0,73.0,92.0,98.0,82.57142857,578,IDEPT3868,ME 
SID20148293,Sem_2,96.0,68.0,87.0,100.0,,86.0,55.0,82.0,492,IDEPT3868,ME 
SID20133911,Sem_2,94.0,83.0,46.0,81.0,96.0,76.0,98.0,82.0,574,IDEPT2601,ME 
SID20168453,Sem_2,96.0,42.0,92.0,77.0,96.0,89.0,79.0,81.57142857,571,IDEPT3868,ME 
SID20135661,Sem_2,98.0,62.0,72.0,89.0,97.0,70.0,83.0,81.57142857,571,IDEPT8598,ME 
SID20175559,Sem_2,99.0,70.0,82.0,60.0,82.0,89.0,87.0,81.28571429,569,IDEPT3868,ME 
SID20173139,Sem_2,78.0,99.0,90.0,94.0,78.0,88.0,42.0,81.28571429,569,IDEPT2601,ME 
SID20136814,Sem_2,73.0,81.0,90.0,78.0,100.0,78.0,68.0,81.14285714,568,IDEPT8473,ME 
SID20165493,Sem_2,81.0,83.0,81.0,99.0,73.0,60.0,87.0,80.57142857,564,IDEPT8473,ME 
SID20174194,Sem_2,92.0,88.0,68.0,42.0,93.0,84.0,96.0,80.42857143,563,IDEPT8473,ME 
SID20183021,Sem_2,97.0,89.0,92.0,70.0,49.0,66.0,99.0,80.28571429,562,IDEPT8473,ME 
SID20177144,Sem_2,67.0,90.0,81.0,83.0,93.0,90.0,56.0,80.0,560,IDEPT3868,ME 
SID20137868,Sem_2,53.0,69.0,95.0,85.0,82.0,86.0,89.0,79.85714286,559,IDEPT3868,ME 
SID20149854,Sem_2,75.0,51.0,68.0,96.0,99.0,98.0,72.0,79.85714286,559,IDEPT3868,ME 
SID20184626,Sem_2,86.0,73.0,81.0,89.0,93.0,93.0,42.0,79.57142857,557,IDEPT3868,ME 
SID20156211,Sem_2,74.0,85.0,99.0,61.0,87.0,64.0,86.0,79.42857143,556,IDEPT8473,ME 
SID20134889,Sem_2,93.0,62.0,87.0,97.0,74.0,67.0,76.0,79.42857143,556,IDEPT2601,ME 
SID20184319,Sem_2,90.0,89.0,86.0,99.0,57.0,62.0,72.0,79.28571429,555,IDEPT8598,ME 
SID20147589,Sem_2,81.0,73.0,94.0,59.0,93.0,75.0,80.0,79.28571429,555,IDEPT3868,ME 
SID20154519,Sem_2,63.0,81.0,73.0,77.0,76.0,87.0,97.0,79.14285714,554,IDEPT8598,ME 
SID20134101,Sem_2,94.0,100.0,64.0,,69.0,68.0,77.0,78.66666667,472,IDEPT8598,ME 
SID20164310,Sem_2,65.0,99.0,97.0,85.0,78.0,78.0,48.0,78.57142857,550,IDEPT8473,ME 
SID20177195,Sem_2,75.0,76.0,78.0,100.0,63.0,99.0,58.0,78.42857143,549,IDEPT3868,ME 
SID20182882,Sem_2,81.0,88.0,41.0,85.0,85.0,98.0,71.0,78.42857143,549,IDEPT8598,ME 
SID20186342,Sem_2,57.0,99.0,47.0,96.0,82.0,89.0,79.0,78.42857143,549,IDEPT8598,ME 
SID20168714,Sem_2,78.0,85.0,93.0,74.0,58.0,61.0,99.0,78.28571429,548,IDEPT8598,ME 
SID20139839,Sem_2,97.0,76.0,69.0,100.0,85.0,60.0,61.0,78.28571429,548,IDEPT3868,ME 
SID20181493,Sem_2,68.0,,62.0,99.0,85.0,60.0,95.0,78.16666667,469,IDEPT8598,ME 
SID20152254,Sem_2,73.0,65.0,91.0,92.0,51.0,,97.0,78.16666667,469,IDEPT2601,ME 
SID20175931,Sem_2,41.0,94.0,96.0,49.0,81.0,90.0,96.0,78.14285714,547,IDEPT2601,ME 
SID20134424,Sem_2,45.0,90.0,67.0,87.0,66.0,99.0,93.0,78.14285714,547,IDEPT8598,ME 
SID20158673,Sem_2,84.0,60.0,91.0,53.0,80.0,82.0,96.0,78.0,546,IDEPT2601,ME 
SID20181256,Sem_2,64.0,91.0,72.0,58.0,95.0,97.0,67.0,77.71428571,544,IDEPT8598,ME 
SID20157686,Sem_2,,81.0,80.0,92.0,87.0,86.0,40.0,77.66666667,466,IDEPT8598,ME 
SID20157686,Sem_2,,81.0,80.0,92.0,87.0,86.0,40.0,77.66666667,466,IDEPT8598,ME 
SID20183927,Sem_2,91.0,99.0,49.0,82.0,82.0,64.0,76.0,77.57142857,543,IDEPT2601,ME 
SID20161679,Sem_2,93.0,91.0,82.0,96.0,42.0,64.0,74.0,77.42857143,542,IDEPT8598,ME 
SID20131220,Sem_2,87.0,77.0,95.0,86.0,91.0,64.0,42.0,77.42857143,542,IDEPT2601,ME 
SID20179830,Sem_2,89.0,59.0,73.0,94.0,54.0,95.0,,77.33333333,464,IDEPT2601,ME 
SID20171493,Sem_2,40.0,61.0,99.0,76.0,85.0,95.0,84.0,77.14285714,540,IDEPT2601,ME 
SID20136079,Sem_2,75.0,55.0,88.0,93.0,88.0,50.0,91.0,77.14285714,540,IDEPT2601,ME 
SID20171468,Sem_2,80.0,96.0,73.0,67.0,68.0,67.0,88.0,77.0,539,IDEPT8473,ME 
SID20163403,Sem_2,85.0,99.0,71.0,46.0,92.0,94.0,52.0,77.0,539,IDEPT8598,ME 
SID20144878,Sem_2,92.0,99.0,76.0,55.0,76.0,46.0,95.0,77.0,539,IDEPT3868,ME 
SID20164501,Sem_2,99.0,93.0,81.0,48.0,57.0,89.0,71.0,76.85714286,538,IDEPT8473,ME 
SID20187760,Sem_2,96.0,56.0,91.0,62.0,88.0,90.0,55.0,76.85714286,538,IDEPT8473,ME 
SID20166611,Sem_2,86.0,89.0,78.0,99.0,59.0,,50.0,76.83333333,461,IDEPT8598,ME 
SID20138981,Sem_2,86.0,80.0,88.0,91.0,67.0,100.0,25.0,76.71428571,537,IDEPT2601,ME 
SID20169520,Sem_2,95.0,72.0,65.0,96.0,57.0,82.0,70.0,76.71428571,537,IDEPT2601,ME 
SID20132744,Sem_2,53.0,97.0,82.0,78.0,95.0,64.0,68.0,76.71428571,537,IDEPT8598,ME 
SID20159481,Sem_2,47.0,56.0,84.0,100.0,96.0,90.0,63.0,76.57142857,536,IDEPT8598,ME 
SID20167570,Sem_2,99.0,50.0,67.0,100.0,62.0,79.0,79.0,76.57142857,536,IDEPT3868,ME 
SID20168770,Sem_2,83.0,69.0,71.0,68.0,79.0,84.0,81.0,76.42857143,535,IDEPT8473,ME 
SID20184507,Sem_2,88.0,90.0,77.0,94.0,41.0,74.0,69.0,76.14285714,533,IDEPT3868,ME 
SID20181263,Sem_2,56.0,96.0,81.0,65.0,71.0,74.0,89.0,76.0,532,IDEPT2601,ME 
SID20152382,Sem_2,85.0,60.0,50.0,69.0,100.0,100.0,67.0,75.85714286,531,IDEPT2601,ME 
SID20181952,Sem_2,70.0,76.0,83.0,95.0,70.0,44.0,92.0,75.71428571,530,IDEPT8598,ME 
