Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20184893,Sem_6,86.0,91.0,90.0,99.0,98.0,91.0,80.0,90.71428571,635,IDEPT8598,ME ,A
SID20155294,Sem_6,85.0,96.0,86.0,88.0,88.0,86.0,95.0,89.14285714,624,IDEPT3868,ME ,A
SID20186558,Sem_6,92.0,66.0,90.0,82.0,96.0,97.0,99.0,88.85714286,622,IDEPT8473,ME ,A
SID20145386,Sem_6,88.0,98.0,,94.0,98.0,84.0,67.0,88.16666667,529,IDEPT8598,ME ,A
SID20157300,Sem_6,82.0,81.0,84.0,98.0,91.0,90.0,87.0,87.57142857,613,IDEPT3868,ME ,A
SID20164310,Sem_6,100.0,83.0,98.0,89.0,78.0,65.0,92.0,86.42857143,605,IDEPT8473,ME ,A
SID20187288,Sem_6,,93.0,85.0,79.0,100.0,93.0,68.0,86.33333333,518,IDEPT2601,ME ,A
SID20146032,Sem_6,98.0,63.0,69.0,91.0,100.0,78.0,98.0,85.28571429,597,IDEPT8473,ME ,A
SID20139587,Sem_6,99.0,84.0,82.0,96.0,90.0,90.0,51.0,84.57142857,592,IDEPT2601,ME ,A
SID20171571,Sem_6,78.0,90.0,94.0,93.0,85.0,52.0,99.0,84.42857143,591,IDEPT2601,ME ,A
SID20184319,Sem_6,89.0,99.0,84.0,84.0,97.0,83.0,52.0,84.0,588,IDEPT8598,ME ,A
SID20184507,Sem_6,75.0,59.0,92.0,85.0,99.0,83.0,94.0,83.85714286,587,IDEPT3868,ME ,A
SID20174766,Sem_6,100.0,58.0,45.0,100.0,93.0,96.0,95.0,83.85714286,587,IDEPT3868,ME ,A
SID20173139,Sem_6,100.0,74.0,87.0,80.0,70.0,77.0,99.0,83.85714286,587,IDEPT2601,ME ,A
SID20181263,Sem_6,75.0,88.0,81.0,56.0,97.0,94.0,94.0,83.57142857,585,IDEPT2601,ME ,A
SID20145900,Sem_6,98.0,65.0,98.0,60.0,80.0,92.0,91.0,83.42857143,584,IDEPT3868,ME ,A
SID20178227,Sem_6,97.0,86.0,91.0,98.0,67.0,64.0,80.0,83.28571429,583,IDEPT8473,ME ,A
SID20181275,Sem_6,61.0,97.0,94.0,91.0,79.0,98.0,63.0,83.28571429,583,IDEPT8473,ME ,A
SID20183147,Sem_6,62.0,77.0,85.0,89.0,97.0,68.0,99.0,82.42857143,577,IDEPT3868,ME ,A
SID20149273,Sem_6,90.0,65.0,78.0,71.0,93.0,86.0,94.0,82.42857143,577,IDEPT2601,ME ,A
SID20169262,Sem_6,96.0,91.0,88.0,82.0,48.0,99.0,68.0,81.71428571,572,IDEPT2601,ME ,A
SID20135512,Sem_6,88.0,92.0,98.0,92.0,47.0,75.0,79.0,81.57142857,571,IDEPT8598,ME ,A
SID20135890,Sem_6,74.0,80.0,44.0,99.0,92.0,95.0,87.0,81.57142857,571,IDEPT8473,ME ,A
SID20131446,Sem_6,62.0,100.0,74.0,75.0,89.0,84.0,86.0,81.42857143,570,IDEPT2601,ME ,A
SID20143941,Sem_6,99.0,76.0,64.0,82.0,81.0,86.0,82.0,81.42857143,570,IDEPT3868,ME ,A
SID20184626,Sem_6,71.0,88.0,84.0,80.0,66.0,92.0,89.0,81.42857143,570,IDEPT3868,ME ,A
SID20167740,Sem_6,71.0,77.0,97.0,85.0,58.0,90.0,89.0,81.0,567,IDEPT8473,ME ,A
SID20164842,Sem_6,97.0,75.0,93.0,71.0,91.0,93.0,46.0,80.85714286,566,IDEPT8473,ME ,A
