Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,,Section
SID20158184,Sem_4,92,97,93,81,92,82,,89.5,537,IDEPT1537,Aerospace Engineering,,A
SID20158308,Sem_3,92,90,73,89,88,99,95,89.42857143,626,IDEPT5881,Aerospace Engineering,,A
SID20149241,Sem_3,88,,66,98,99,87,97,89.16666667,535,IDEPT4938,Aerospace Engineering,,A
SID20173037,Sem_4,80,86,95,92,95,82,93,89,623,IDEPT5881,Aerospace Engineering,,A
SID20178787,Sem_3,60,82,,97,95,100,99,88.83333333,533,IDEPT3115,Aerospace Engineering,,A
SID20148765,Sem_3,91,,87,98,83,82,89,88.33333333,530,IDEPT5528,Aerospace Engineering,,A
SID20154009,Sem_4,88,100,100,95,69,76,90,88.28571429,618,IDEPT4938,Aerospace Engineering,,A
SID20146319,Sem_4,96,59,95,91,99,80,94,87.71428571,614,IDEPT4938,Aerospace Engineering,,A
SID20163481,Sem_3,90,93,81,83,85,83,98,87.57142857,613,IDEPT5528,Aerospace Engineering,,A
SID20159002,Sem_4,97,89,94,94,77,74,87,87.42857143,612,IDEPT1537,Aerospace Engineering,,A
SID20165383,Sem_3,100,75,84,91,92,78,85,86.42857143,605,IDEPT4670,Aerospace Engineering,,A
SID20171718,Sem_3,100,92,69,55,96,90,100,86,602,IDEPT3115,Aerospace Engineering,,A
SID20178206,Sem_4,85,97,93,99,97,44,,85.83333333,515,IDEPT2054,Aerospace Engineering,,A
SID20134249,Sem_4,68,77,79,97,94,94,90,85.57142857,599,IDEPT2054,Aerospace Engineering,,A
SID20171741,Sem_4,60,80,91,99,,87,96,85.5,513,IDEPT2357,Aerospace Engineering,,A
SID20178877,Sem_4,81,,88,96,84,75,87,85.16666667,511,IDEPT1423,Aerospace Engineering,,A
SID20131420,Sem_3,82,84,87,60,96,88,98,85,595,IDEPT3115,Aerospace Engineering,,A
SID20145691,Sem_3,94,62,94,89,73,,98,85,510,IDEPT5881,Aerospace Engineering,,A
SID20159558,Sem_3,74,86,43,97,95,100,99,84.85714286,594,IDEPT4938,Aerospace Engineering,,A
SID20152580,Sem_4,88,85,74,72,98,92,85,84.85714286,594,IDEPT1537,Aerospace Engineering,,A
SID20148396,Sem_3,98,96,96,56,57,96,95,84.85714286,594,IDEPT2357,Aerospace Engineering,,A
SID20159289,Sem_3,96,72,83,81,83,95,82,84.57142857,592,IDEPT1423,Aerospace Engineering,,A
SID20141735,Sem_3,97,83,87,89,56,80,100,84.57142857,592,IDEPT4938,Aerospace Engineering,,A
SID20145547,Sem_4,79,100,95,63,99,55,100,84.42857143,591,IDEPT4938,Aerospace Engineering,,A
SID20145061,Sem_3,94,99,60,98,70,83,86,84.28571429,590,IDEPT3115,Aerospace Engineering,,A
SID20145061,Sem_3,94,99,60,98,70,83,86,84.28571429,590,IDEPT3115,Aerospace Engineering,,A
SID20144670,Sem_4,95,93,,83,96,79,58,84,504,IDEPT4938,Aerospace Engineering,,A
SID20162180,Sem_3,89,94,77,95,87,89,57,84,588,IDEPT3115,Aerospace Engineering,,A
SID20168088,Sem_3,54,79,98,81,90,87,98,83.85714286,587,IDEPT5528,Aerospace Engineering,,A
SID20164957,Sem_3,92,95,76,73,91,93,66,83.71428571,586,IDEPT2054,Aerospace Engineering,,A
SID20186227,Sem_3,98,79,90,88,78,80,72,83.57142857,585,IDEPT5881,Aerospace Engineering,,A
