Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20131143,Sem_4,78,83,94,,99,100,91,90.83333333,545,IDEPT7783,CE,A
SID20168034,Sem_3,92,96,96,89,87,99,70,89.85714286,629,IDEPT3062,CE,A
SID20175166,Sem_3,96,81,96,100,96,95,60,89.14285714,624,IDEPT1142,CE,A
SID20163086,Sem_4,93,61,97,96,97,84,92,88.57142857,620,IDEPT7783,CE,A
SID20138394,Sem_3,99,82,51,91,99,100,93,87.85714286,615,IDEPT3778,CE,A
SID20142455,Sem_4,96,77,83,89,100,87,83,87.85714286,615,IDEPT7783,CE,A
SID20161188,Sem_4,88,75,99,100,94,82,76,87.71428571,614,IDEPT3778,CE,A
SID20142883,Sem_4,76,85,88,93,,85,97,87.33333333,524,IDEPT1142,CE,A
SID20162531,Sem_3,86,81,98,90,82,88,84,87,609,IDEPT8313,CE,A
SID20165623,Sem_3,99,86,64,93,90,95,80,86.71428571,607,IDEPT2425,CE,A
SID20181374,Sem_4,97,81,100,88,89,73,77,86.42857143,605,IDEPT7005,CE,A
SID20171224,Sem_3,100,92,98,90,88,75,62,86.42857143,605,IDEPT8313,CE,A
SID20138432,Sem_3,85,100,84,89,87,72,88,86.42857143,605,IDEPT2425,CE,A
SID20156056,Sem_3,97,97,99,86,59,,79,86.16666667,517,IDEPT1142,CE,A
SID20165811,Sem_3,76,87,87,98,93,80,81,86,602,IDEPT7005,CE,A
SID20134829,Sem_3,100,77,88,91,63,83,100,86,602,IDEPT8379,CE,A
SID20148281,Sem_4,89,88,97,87,85,75,79,85.71428571,600,IDEPT3062,CE,A
SID20163655,Sem_3,90,92,95,95,89,47,92,85.71428571,600,IDEPT8379,CE,A
SID20178200,Sem_4,95,56,100,89,86,88,86,85.71428571,600,IDEPT1533,CE,A
SID20158556,Sem_3,94,89,95,56,88,94,84,85.71428571,600,IDEPT3778,CE,A
SID20143347,Sem_3,93,100,64,100,74,80,86,85.28571429,597,IDEPT1142,CE,A
SID20153658,Sem_4,95,99,98,96,99,44,65,85.14285714,596,IDEPT3778,CE,A
SID20175926,Sem_4,90,96,80,85,66,78,100,85,595,IDEPT3778,CE,A
SID20163525,Sem_3,98,99,82,77,100,47,91,84.85714286,594,IDEPT8379,CE,A
SID20166956,Sem_4,93,93,88,72,98,54,96,84.85714286,594,IDEPT5408,CE,A
SID20147809,Sem_3,78,97,95,94,59,74,97,84.85714286,594,IDEPT2425,CE,A
SID20144962,Sem_4,79,93,86,50,99,98,89,84.85714286,594,IDEPT2425,CE,A
SID20177417,Sem_4,78,80,86,,78,97,90,84.83333333,509,IDEPT5408,CE,A
SID20141979,Sem_3,92,84,95,89,92,92,49,84.71428571,593,IDEPT2425,CE,A
SID20189254,Sem_4,92,87,95,77,69,100,71,84.42857143,591,IDEPT7005,CE,A
SID20182891,Sem_4,82,72,58,94,95,93,97,84.42857143,591,IDEPT1533,CE,A
SID20186036,Sem_4,53,69,99,93,98,94,85,84.42857143,591,IDEPT1142,CE,A
SID20163227,Sem_3,100,91,95,78,84,92,51,84.42857143,591,IDEPT5408,CE,A
SID20133006,Sem_4,99,98,60,56,97,92,88,84.28571429,590,IDEPT2425,CE,A
SID20181152,Sem_4,83,70,81,97,97,65,96,84.14285714,589,IDEPT1378,CE,A
SID20175601,Sem_3,90,67,60,79,97,98,98,84.14285714,589,IDEPT3062,CE,A
SID20168039,Sem_3,68,98,59,89,94,95,86,84.14285714,589,IDEPT3062,CE,A
SID20166839,Sem_4,84,95,96,66,65,100,82,84,588,IDEPT8379,CE,A
SID20163182,Sem_3,94,93,49,86,86,94,86,84,588,IDEPT3062,CE,A
SID20171246,Sem_3,94,68,80,99,72,98,77,84,588,IDEPT7005,CE,A
SID20183417,Sem_3,93,90,96,72,78,70,89,84,588,IDEPT3062,CE,A
SID20178308,Sem_4,67,84,97,77,100,76,86,83.85714286,587,IDEPT1142,CE,A
SID20184100,Sem_3,100,96,89,72,80,65,85,83.85714286,587,IDEPT1142,CE,A
SID20173720,Sem_3,,75,94,94,83,100,57,83.83333333,503,IDEPT5408,CE,A
SID20176711,Sem_4,44,86,92,98,83,88,95,83.71428571,586,IDEPT1825,CE,A
SID20146492,Sem_4,94,87,100,93,72,77,63,83.71428571,586,IDEPT8379,CE,A
SID20167134,Sem_3,97,82,80,96,76,86,69,83.71428571,586,IDEPT1533,CE,A
SID20162489,Sem_3,88,86,67,,88,84,89,83.66666667,502,IDEPT1142,CE,A
SID20133314,Sem_4,88,88,66,71,83,96,93,83.57142857,585,IDEPT1533,CE,A
SID20176028,Sem_3,74,74,83,67,91,98,98,83.57142857,585,IDEPT7005,CE,A
SID20139325,Sem_4,71,68,94,95,65,97,95,83.57142857,585,IDEPT8313,CE,A
SID20141974,Sem_4,93,100,,68,48,93,98,83.33333333,500,IDEPT8313,CE,A
SID20143752,Sem_3,65,100,82,74,89,90,,83.33333333,500,IDEPT3062,CE,A
SID20172440,Sem_4,96,83,45,85,93,83,98,83.28571429,583,IDEPT5408,CE,A
SID20141292,Sem_4,,75,88,84,67,91,94,83.16666667,499,IDEPT7783,CE,A
SID20167419,Sem_4,73,71,93,95,96,78,76,83.14285714,582,IDEPT3778,CE,A
SID20142970,Sem_4,45,99,79,89,86,99,85,83.14285714,582,IDEPT1378,CE,A
SID20185072,Sem_4,98,95,88,63,79,68,89,82.85714286,580,IDEPT1378,CE,A
SID20142757,Sem_4,99,96,66,82,72,89,76,82.85714286,580,IDEPT5408,CE,A
SID20178788,Sem_4,98,77,97,99,60,94,55,82.85714286,580,IDEPT8379,CE,A
SID20148547,Sem_3,91,87,86,89,53,90,83,82.71428571,579,IDEPT1378,CE,A
SID20184583,Sem_4,85,92,87,87,90,40,97,82.57142857,578,IDEPT5408,CE,A
SID20185950,Sem_4,83,74,77,86,98,77,,82.5,495,IDEPT7005,CE,A
SID20139023,Sem_4,55,90,86,99,88,67,92,82.42857143,577,IDEPT1142,CE,A
SID20152108,Sem_4,82,58,69,97,99,95,77,82.42857143,577,IDEPT2425,CE,A
SID20156075,Sem_4,67,88,90,89,89,96,57,82.28571429,576,IDEPT1142,CE,A
SID20181603,Sem_3,91,79,97,46,76,90,97,82.28571429,576,IDEPT7783,CE,A
SID20164182,Sem_3,94,87,50,86,97,90,72,82.28571429,576,IDEPT1533,CE,A
SID20154070,Sem_4,98,70,84,79,100,89,56,82.28571429,576,IDEPT5408,CE,A
SID20155489,Sem_4,,87,100,76,80,66,84,82.16666667,493,IDEPT7783,CE,A
SID20175426,Sem_3,62,75,99,79,74,95,91,82.14285714,575,IDEPT7783,CE,A
SID20173041,Sem_4,70,67,93,68,77,100,100,82.14285714,575,IDEPT7005,CE,A
SID20166652,Sem_4,78,66,90,70,96,90,85,82.14285714,575,IDEPT1533,CE,A
SID20131443,Sem_4,50,98,81,96,92,67,91,82.14285714,575,IDEPT3778,CE,A
SID20144568,Sem_4,95,81,69,90,70,87,83,82.14285714,575,IDEPT8379,CE,A
SID20155427,Sem_3,84,91,,48,99,70,100,82,492,IDEPT1142,CE,A
SID20178308,Sem_3,78,84,98,86,93,81,54,82,574,IDEPT1142,CE,A
SID20179280,Sem_4,99,79,83,52,82,100,79,82,574,IDEPT7783,CE,A
SID20153669,Sem_3,96,,65,95,98,62,76,82,492,IDEPT1378,CE,A
SID20133222,Sem_3,72,97,77,89,96,61,82,82,574,IDEPT2425,CE,A
SID20175323,Sem_4,75,100,97,68,81,,71,82,492,IDEPT8379,CE,A
SID20143064,Sem_3,89,100,97,90,71,43,83,81.85714286,573,IDEPT5408,CE,A
SID20186835,Sem_3,89,72,92,70,83,85,82,81.85714286,573,IDEPT1825,CE,A
SID20175001,Sem_4,98,99,96,70,80,90,40,81.85714286,573,IDEPT1825,CE,A
SID20179943,Sem_3,68,92,91,76,79,70,97,81.85714286,573,IDEPT1533,CE,A
SID20148623,Sem_3,94,89,65,81,95,51,98,81.85714286,573,IDEPT5408,CE,A
SID20143860,Sem_3,58,93,78,79,,87,96,81.83333333,491,IDEPT3778,CE,A
SID20163912,Sem_4,77,97,80,94,77,78,69,81.71428571,572,IDEPT2425,CE,A
SID20178693,Sem_3,45,90,88,86,99,100,64,81.71428571,572,IDEPT1533,CE,A
SID20189161,Sem_4,95,61,84,64,95,94,79,81.71428571,572,IDEPT7783,CE,A
SID20187499,Sem_4,,73,95,86,46,100,90,81.66666667,490,IDEPT1533,CE,A
SID20154202,Sem_4,73,79,89,92,91,51,96,81.57142857,571,IDEPT8313,CE,A
SID20178809,Sem_3,100,67,90,100,99,72,43,81.57142857,571,IDEPT3062,CE,A
SID20185731,Sem_4,70,98,90,87,77,81,68,81.57142857,571,IDEPT7005,CE,A
SID20133314,Sem_3,,91,93,84,68,55,98,81.5,489,IDEPT1533,CE,A
SID20142798,Sem_3,56,73,86,65,98,97,95,81.42857143,570,IDEPT7783,CE,A
SID20154896,Sem_3,75,65,74,94,78,92,92,81.42857143,570,IDEPT3062,CE,A
SID20143436,Sem_4,73,75,68,79,85,97,93,81.42857143,570,IDEPT1533,CE,A
SID20139010,Sem_3,97,91,67,62,74,88,91,81.42857143,570,IDEPT3778,CE,A
SID20134601,Sem_4,99,69,93,40,92,93,84,81.42857143,570,IDEPT1142,CE,A
