Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20165922,Sem_5,96,91,91,99,100,88,93,94,658,IDEPT1096,ESE,A
SID20171804,Sem_5,100,65,81,91,97,96,97,89.57142857,627,IDEPT5109,ESE,A
SID20133204,Sem_5,100,95,70,92,97,97,75,89.42857143,626,IDEPT1836,ESE,A
SID20144720,Sem_5,97,98,91,64,88,85,100,89,623,IDEPT5109,ESE,A
SID20168333,Sem_6,88,73,86,87,,99,99,88.66666667,532,IDEPT4055,ESE,A
SID20131834,Sem_5,98,99,100,81,56,95,90,88.42857143,619,IDEPT6347,ESE,A
SID20186680,Sem_6,85,84,,92,95,94,74,87.33333333,524,IDEPT1096,ESE,A
SID20162603,Sem_5,100,83,95,95,88,59,,86.66666667,520,IDEPT4308,ESE,A
SID20143071,Sem_6,81,92,66,99,76,91,99,86.28571429,604,IDEPT1836,ESE,A
SID20179838,Sem_5,92,67,90,86,93,94,81,86.14285714,603,IDEPT4308,ESE,A
SID20161725,Sem_6,97,90,96,92,92,71,64,86,602,IDEPT6347,ESE,A
SID20189376,Sem_5,94,90,97,94,43,95,87,85.71428571,600,IDEPT4055,ESE,A
SID20157698,Sem_5,100,100,77,55,88,94,,85.66666667,514,IDEPT6347,ESE,A
SID20157698,Sem_5,100,100,77,55,88,94,,85.66666667,514,IDEPT6347,ESE,A
SID20161794,Sem_6,100,63,96,88,70,95,84,85.14285714,596,IDEPT6347,ESE,A
SID20183535,Sem_6,71,99,98,87,76,79,86,85.14285714,596,IDEPT6347,ESE,A
SID20168281,Sem_6,62,84,84,89,98,81,96,84.85714286,594,IDEPT6347,ESE,A
SID20139236,Sem_5,93,63,95,93,65,94,90,84.71428571,593,IDEPT8825,ESE,A
SID20165794,Sem_5,88,88,80,69,95,80,93,84.71428571,593,IDEPT8825,ESE,A
SID20187309,Sem_6,99,100,65,61,95,94,79,84.71428571,593,IDEPT1677,ESE,A
SID20149680,Sem_5,97,76,87,54,91,92,95,84.57142857,592,IDEPT1677,ESE,A
SID20189575,Sem_6,98,89,55,88,86,86,90,84.57142857,592,IDEPT6347,ESE,A
SID20175799,Sem_5,95,75,100,97,72,59,94,84.57142857,592,IDEPT1615,ESE,A
SID20158224,Sem_6,98,79,90,82,100,64,79,84.57142857,592,IDEPT7626,ESE,A
SID20157709,Sem_6,,91,98,99,93,80,45,84.33333333,506,IDEPT1836,ESE,A
SID20175132,Sem_5,76,97,100,91,40,99,87,84.28571429,590,IDEPT4308,ESE,A
SID20157271,Sem_5,79,61,99,91,100,70,89,84.14285714,589,IDEPT1836,ESE,A
SID20146358,Sem_5,78,99,96,100,45,94,77,84.14285714,589,IDEPT4308,ESE,A
SID20187700,Sem_5,81,71,97,71,100,71,97,84,588,IDEPT1096,ESE,A
SID20171258,Sem_5,79,59,87,87,92,98,85,83.85714286,587,IDEPT1615,ESE,A
