Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20162474,Sem_4,78,45,94,98,99,97,99,87.14285714,610,IDEPT1388,EE ,A
SID20153875,Sem_4,95,73,75,97,98,86,76,85.71428571,600,IDEPT1388,EE ,A
SID20153228,Sem_4,89,98,95,84,86,90,55,85.28571429,597,IDEPT1367,EE ,A
SID20167171,Sem_4,100,68,89,58,98,,96,84.83333333,509,IDEPT1367,EE ,A
SID20178706,Sem_4,81,68,87,94,78,89,91,84,588,IDEPT1388,EE ,A
SID20189359,Sem_3,83,88,86,80,100,94,56,83.85714286,587,IDEPT1388,EE ,A
SID20185291,Sem_4,95,100,74,94,72,83,64,83.14285714,582,IDEPT1388,EE ,A
SID20155377,Sem_3,95,72,78,48,91,100,93,82.42857143,577,IDEPT1367,EE ,A
SID20187217,Sem_4,83,97,45,96,76,98,79,82,574,IDEPT1367,EE ,A
SID20168127,Sem_4,67,95,64,94,65,98,91,82,574,IDEPT1367,EE ,A
SID20177480,Sem_4,94,94,87,72,67,,77,81.83333333,491,IDEPT1388,EE ,A
SID20154210,Sem_4,100,87,89,84,,70,60,81.66666667,490,IDEPT1367,EE ,A
SID20185178,Sem_3,75,49,82,77,97,100,91,81.57142857,571,IDEPT1367,EE ,A
SID20151142,Sem_4,67,,82,100,81,73,85,81.33333333,488,IDEPT1367,EE ,A
SID20158106,Sem_4,92,71,99,98,91,76,42,81.28571429,569,IDEPT1367,EE ,A
SID20138952,Sem_3,99,86,41,93,99,97,54,81.28571429,569,IDEPT1388,EE ,A
SID20168911,Sem_3,83,77,96,98,,60,73,81.16666667,487,IDEPT1367,EE ,A
SID20168953,Sem_3,82,100,58,89,61,84,93,81,567,IDEPT1367,EE ,A
SID20142159,Sem_4,100,62,100,92,43,81,89,81,567,IDEPT1388,EE ,A
SID20163541,Sem_4,81,100,99,52,90,86,58,80.85714286,566,IDEPT1367,EE ,A
SID20168127,Sem_3,58,97,55,92,94,78,91,80.71428571,565,IDEPT1367,EE ,A
SID20169503,Sem_4,59,75,99,55,97,93,85,80.42857143,563,IDEPT1367,EE ,A
SID20152364,Sem_4,59,50,74,97,96,99,86,80.14285714,561,IDEPT1388,EE ,A
SID20137438,Sem_3,65,93,74,83,84,61,100,80,560,IDEPT1367,EE ,A
SID20144674,Sem_3,100,63,89,69,59,82,98,80,560,IDEPT1388,EE ,A
SID20157846,Sem_4,81,88,83,76,98,47,84,79.57142857,557,IDEPT1367,EE ,A
SID20155833,Sem_3,99,60,98,92,41,78,88,79.42857143,556,IDEPT1367,EE ,A
SID20177492,Sem_3,65,,82,83,63,84,98,79.16666667,475,IDEPT1367,EE ,A
SID20142159,Sem_3,74,93,81,88,75,99,42,78.85714286,552,IDEPT1388,EE ,A
SID20141737,Sem_3,67,100,44,83,96,76,84,78.57142857,550,IDEPT1367,EE ,A
SID20159301,Sem_4,98,86,99,68,43,85,71,78.57142857,550,IDEPT1388,EE ,A
SID20175588,Sem_4,40,91,100,42,93,90,93,78.42857143,549,IDEPT1388,EE ,A
SID20169650,Sem_3,79,87,95,83,85,55,64,78.28571429,548,IDEPT1388,EE ,A
SID20141686,Sem_3,94,81,90,44,71,83,85,78.28571429,548,IDEPT1388,EE ,A
SID20133872,Sem_4,76,94,66,,76,67,89,78,468,IDEPT1367,EE ,A
SID20186084,Sem_3,78,99,,85,41,91,73,77.83333333,467,IDEPT1388,EE ,A
SID20145711,Sem_3,93,92,45,60,95,68,91,77.71428571,544,IDEPT1388,EE ,A
SID20187854,Sem_4,83,96,51,75,84,72,81,77.42857143,542,IDEPT1388,EE ,A
SID20155377,Sem_4,62,82,69,82,70,81,96,77.42857143,542,IDEPT1367,EE ,A
SID20146425,Sem_4,90,88,69,64,98,54,,77.16666667,463,IDEPT1367,EE ,A
SID20142916,Sem_4,81,96,59,98,72,58,75,77,539,IDEPT1388,EE ,A
SID20176448,Sem_4,91,94,65,72,55,94,68,77,539,IDEPT1388,EE ,A
SID20184715,Sem_4,66,94,55,96,51,86,89,76.71428571,537,IDEPT1367,EE ,A
SID20184817,Sem_4,80,77,57,47,85,95,95,76.57142857,536,IDEPT1388,EE ,A
SID20169650,Sem_4,,99,83,85,89,57,46,76.5,459,IDEPT1388,EE ,A
