Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name
SID20131618,Sem_1,95.0,66.0,90.0,99.0,100.0,97.0,93.0,91.42857143,640,IDEPT2601,ME 
SID20183160,Sem_1,91.0,69.0,98.0,97.0,90.0,96.0,94.0,90.71428571,635,IDEPT8473,ME 
SID20156776,Sem_2,69.0,94.0,89.0,87.0,87.0,97.0,100.0,89.0,623,IDEPT2601,ME 
SID20153364,Sem_1,86.0,92.0,93.0,70.0,84.0,97.0,99.0,88.71428571,621,IDEPT2601,ME 
SID20178475,Sem_2,79.0,86.0,,91.0,89.0,85.0,90.0,86.66666667,520,IDEPT8598,ME 
SID20157335,Sem_2,95.0,66.0,,98.0,98.0,72.0,88.0,86.16666667,517,IDEPT2601,ME 
SID20159647,Sem_2,99.0,57.0,74.0,96.0,90.0,91.0,95.0,86.0,602,IDEPT3868,ME 
SID20138292,Sem_2,98.0,67.0,83.0,96.0,64.0,91.0,100.0,85.57142857,599,IDEPT3868,ME 
SID20146783,Sem_2,97.0,99.0,91.0,64.0,67.0,82.0,94.0,84.85714286,594,IDEPT8598,ME 
SID20154760,Sem_2,86.0,61.0,92.0,92.0,98.0,75.0,90.0,84.85714286,594,IDEPT3868,ME 
SID20154878,Sem_1,97.0,91.0,78.0,97.0,53.0,97.0,81.0,84.85714286,594,IDEPT8473,ME 
SID20189452,Sem_1,81.0,76.0,98.0,91.0,100.0,,61.0,84.5,507,IDEPT3868,ME 
SID20158457,Sem_1,84.0,93.0,85.0,95.0,87.0,100.0,47.0,84.42857143,591,IDEPT8473,ME 
SID20134016,Sem_2,56.0,97.0,89.0,93.0,84.0,71.0,99.0,84.14285714,589,IDEPT3868,ME 
SID20159927,Sem_1,99.0,98.0,61.0,71.0,67.0,99.0,93.0,84.0,588,IDEPT2601,ME 
SID20171723,Sem_2,72.0,80.0,94.0,98.0,79.0,96.0,68.0,83.85714286,587,IDEPT8598,ME 
SID20158525,Sem_2,42.0,92.0,95.0,90.0,81.0,91.0,94.0,83.57142857,585,IDEPT3868,ME 
SID20171381,Sem_1,78.0,95.0,99.0,87.0,41.0,99.0,85.0,83.42857143,584,IDEPT2601,ME 
SID20158335,Sem_1,73.0,84.0,88.0,97.0,71.0,93.0,77.0,83.28571429,583,IDEPT8598,ME 
SID20168562,Sem_1,95.0,78.0,76.0,83.0,67.0,98.0,86.0,83.28571429,583,IDEPT2601,ME 
SID20161803,Sem_1,73.0,83.0,67.0,84.0,94.0,98.0,,83.16666667,499,IDEPT3868,ME 
SID20183070,Sem_2,81.0,91.0,93.0,91.0,42.0,91.0,93.0,83.14285714,582,IDEPT3868,ME 
SID20164982,Sem_1,,93.0,98.0,59.0,82.0,75.0,91.0,83.0,498,IDEPT8598,ME 
SID20167845,Sem_2,91.0,82.0,81.0,61.0,73.0,92.0,98.0,82.57142857,578,IDEPT3868,ME 
SID20183927,Sem_1,90.0,92.0,82.0,63.0,95.0,83.0,72.0,82.42857143,577,IDEPT2601,ME 
SID20151682,Sem_1,94.0,49.0,91.0,75.0,73.0,97.0,98.0,82.42857143,577,IDEPT8598,ME 
SID20148293,Sem_2,96.0,68.0,87.0,100.0,,86.0,55.0,82.0,492,IDEPT3868,ME 
SID20133911,Sem_2,94.0,83.0,46.0,81.0,96.0,76.0,98.0,82.0,574,IDEPT2601,ME 
SID20183997,Sem_1,71.0,73.0,78.0,87.0,67.0,98.0,100.0,82.0,574,IDEPT8598,ME 
SID20181493,Sem_1,93.0,94.0,43.0,88.0,81.0,100.0,74.0,81.85714286,573,IDEPT8598,ME 
SID20137152,Sem_1,83.0,52.0,86.0,81.0,100.0,99.0,72.0,81.85714286,573,IDEPT2601,ME 
SID20137336,Sem_1,45.0,92.0,71.0,96.0,94.0,80.0,95.0,81.85714286,573,IDEPT2601,ME 
SID20164310,Sem_1,47.0,95.0,88.0,100.0,97.0,62.0,82.0,81.57142857,571,IDEPT8473,ME 
SID20165791,Sem_1,84.0,88.0,55.0,53.0,100.0,93.0,98.0,81.57142857,571,IDEPT8598,ME 
SID20168453,Sem_2,96.0,42.0,92.0,77.0,96.0,89.0,79.0,81.57142857,571,IDEPT3868,ME 
SID20135661,Sem_2,98.0,62.0,72.0,89.0,97.0,70.0,83.0,81.57142857,571,IDEPT8598,ME 
SID20175559,Sem_2,99.0,70.0,82.0,60.0,82.0,89.0,87.0,81.28571429,569,IDEPT3868,ME 
SID20173139,Sem_2,78.0,99.0,90.0,94.0,78.0,88.0,42.0,81.28571429,569,IDEPT2601,ME 
SID20136814,Sem_2,73.0,81.0,90.0,78.0,100.0,78.0,68.0,81.14285714,568,IDEPT8473,ME 
SID20141431,Sem_1,79.0,98.0,60.0,,99.0,58.0,92.0,81.0,486,IDEPT8598,ME 
SID20175559,Sem_1,99.0,49.0,46.0,96.0,96.0,,98.0,80.66666667,484,IDEPT3868,ME 
SID20166498,Sem_1,100.0,73.0,99.0,81.0,69.0,91.0,51.0,80.57142857,564,IDEPT8473,ME 
SID20165493,Sem_2,81.0,83.0,81.0,99.0,73.0,60.0,87.0,80.57142857,564,IDEPT8473,ME 
SID20155054,Sem_1,65.0,74.0,87.0,100.0,62.0,90.0,86.0,80.57142857,564,IDEPT8598,ME 
