Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20184893,Sem_6,86,91,90,99,98,91,80,90.71428571,635,IDEPT8598,ME ,A
SID20155294,Sem_6,85,96,86,88,88,86,95,89.14285714,624,IDEPT3868,ME ,A
SID20186558,Sem_6,92,66,90,82,96,97,99,88.85714286,622,IDEPT8473,ME ,A
SID20153877,Sem_5,93,80,99,96,78,74,100,88.57142857,620,IDEPT8598,ME ,A
SID20145386,Sem_6,88,98,,94,98,84,67,88.16666667,529,IDEPT8598,ME ,A
SID20156733,Sem_5,89,98,72,75,100,82,100,88,616,IDEPT8473,ME ,A
SID20165263,Sem_5,81,62,100,88,86,100,99,88,616,IDEPT8473,ME ,A
SID20144878,Sem_5,76,97,95,73,98,88,86,87.57142857,613,IDEPT3868,ME ,A
SID20157300,Sem_6,82,81,84,98,91,90,87,87.57142857,613,IDEPT3868,ME ,A
SID20164310,Sem_6,100,83,98,89,78,65,92,86.42857143,605,IDEPT8473,ME ,A
SID20144608,Sem_5,96,91,76,78,77,,100,86.33333333,518,IDEPT2601,ME ,A
SID20187288,Sem_6,,93,85,79,100,93,68,86.33333333,518,IDEPT2601,ME ,A
SID20155194,Sem_5,85,93,89,85,73,98,79,86,602,IDEPT8473,ME ,A
SID20132217,Sem_5,82,82,91,87,,83,89,85.66666667,514,IDEPT8473,ME ,A
SID20146032,Sem_6,98,63,69,91,100,78,98,85.28571429,597,IDEPT8473,ME ,A
SID20139587,Sem_6,99,84,82,96,90,90,51,84.57142857,592,IDEPT2601,ME ,A
SID20164268,Sem_5,95,100,100,91,71,66,69,84.57142857,592,IDEPT8598,ME ,A
SID20168453,Sem_5,72,100,98,65,66,94,96,84.42857143,591,IDEPT3868,ME ,A
SID20171571,Sem_6,78,90,94,93,85,52,99,84.42857143,591,IDEPT2601,ME ,A
SID20181256,Sem_5,87,80,61,74,93,100,96,84.42857143,591,IDEPT8598,ME ,A
SID20184319,Sem_6,89,99,84,84,97,83,52,84,588,IDEPT8598,ME ,A
SID20141546,Sem_5,81,79,95,96,100,81,56,84,588,IDEPT8473,ME ,A
SID20184507,Sem_6,75,59,92,85,99,83,94,83.85714286,587,IDEPT3868,ME ,A
SID20174766,Sem_6,100,58,45,100,93,96,95,83.85714286,587,IDEPT3868,ME ,A
SID20173139,Sem_6,100,74,87,80,70,77,99,83.85714286,587,IDEPT2601,ME ,A
SID20181263,Sem_6,75,88,81,56,97,94,94,83.57142857,585,IDEPT2601,ME ,A
SID20145900,Sem_6,98,65,98,60,80,92,91,83.42857143,584,IDEPT3868,ME ,A
SID20178227,Sem_6,97,86,91,98,67,64,80,83.28571429,583,IDEPT8473,ME ,A
SID20181275,Sem_6,61,97,94,91,79,98,63,83.28571429,583,IDEPT8473,ME ,A
SID20189404,Sem_5,94,66,95,95,95,88,49,83.14285714,582,IDEPT2601,ME ,A
SID20134143,Sem_5,86,91,76,88,53,91,96,83,581,IDEPT3868,ME ,A
SID20149131,Sem_5,63,61,99,78,96,86,96,82.71428571,579,IDEPT3868,ME ,A
SID20137002,Sem_5,86,94,85,99,41,97,75,82.42857143,577,IDEPT3868,ME ,A
SID20183147,Sem_6,62,77,85,89,97,68,99,82.42857143,577,IDEPT3868,ME ,A
SID20149273,Sem_6,90,65,78,71,93,86,94,82.42857143,577,IDEPT2601,ME ,A
SID20139839,Sem_5,56,93,82,100,69,87,89,82.28571429,576,IDEPT3868,ME ,A
SID20151386,Sem_5,100,93,90,46,78,98,70,82.14285714,575,IDEPT8598,ME ,A
SID20136814,Sem_5,97,62,84,67,93,74,98,82.14285714,575,IDEPT8473,ME ,A
SID20144302,Sem_5,69,92,57,93,95,94,73,81.85714286,573,IDEPT8473,ME ,A
SID20171878,Sem_5,96,75,83,50,93,83,93,81.85714286,573,IDEPT8473,ME ,A
SID20181263,Sem_5,69,90,95,66,75,88,89,81.71428571,572,IDEPT2601,ME ,A
SID20169262,Sem_6,96,91,88,82,48,99,68,81.71428571,572,IDEPT2601,ME ,A
SID20135512,Sem_6,88,92,98,92,47,75,79,81.57142857,571,IDEPT8598,ME ,A
SID20135890,Sem_6,74,80,44,99,92,95,87,81.57142857,571,IDEPT8473,ME ,A
SID20178475,Sem_5,94,78,87,79,70,81,,81.5,489,IDEPT8598,ME ,A
SID20131446,Sem_6,62,100,74,75,89,84,86,81.42857143,570,IDEPT2601,ME ,A
SID20143941,Sem_6,99,76,64,82,81,86,82,81.42857143,570,IDEPT3868,ME ,A
SID20184626,Sem_6,71,88,84,80,66,92,89,81.42857143,570,IDEPT3868,ME ,A
SID20188686,Sem_5,78,84,81,50,99,92,85,81.28571429,569,IDEPT3868,ME ,A
SID20171230,Sem_5,64,,84,94,75,92,78,81.16666667,487,IDEPT8598,ME ,A
SID20132356,Sem_5,64,99,96,79,85,46,99,81.14285714,568,IDEPT3868,ME ,A
SID20175559,Sem_5,87,64,96,81,58,90,92,81.14285714,568,IDEPT3868,ME ,A
SID20167870,Sem_5,64,76,94,100,84,50,99,81,567,IDEPT8598,ME ,A
SID20167740,Sem_6,71,77,97,85,58,90,89,81,567,IDEPT8473,ME ,A
SID20164842,Sem_6,97,75,93,71,91,93,46,80.85714286,566,IDEPT8473,ME ,A
SID20167255,Sem_5,91,75,96,92,87,,44,80.83333333,485,IDEPT8598,ME ,A
SID20185993,Sem_6,96,100,78,83,91,45,72,80.71428571,565,IDEPT8473,ME ,A
SID20157191,Sem_6,60,87,100,50,94,88,86,80.71428571,565,IDEPT3868,ME ,A
SID20164501,Sem_6,58,,88,85,64,92,97,80.66666667,484,IDEPT8473,ME ,A
SID20133658,Sem_5,42,90,98,74,65,99,96,80.57142857,564,IDEPT8473,ME ,A
SID20156776,Sem_5,80,72,71,50,100,92,99,80.57142857,564,IDEPT2601,ME ,A
SID20167763,Sem_6,81,51,93,59,99,96,85,80.57142857,564,IDEPT3868,ME ,A
SID20155216,Sem_5,98,85,93,58,98,,51,80.5,483,IDEPT2601,ME ,A
SID20145386,Sem_5,54,94,79,88,92,80,76,80.42857143,563,IDEPT8598,ME ,A
SID20182882,Sem_6,91,85,80,73,76,67,91,80.42857143,563,IDEPT8598,ME ,A
SID20149831,Sem_6,92,70,89,57,76,91,87,80.28571429,562,IDEPT2601,ME ,A
SID20131477,Sem_6,73,86,85,90,60,87,,80.16666667,481,IDEPT3868,ME ,A
SID20154878,Sem_6,60,92,99,60,58,97,95,80.14285714,561,IDEPT8473,ME ,A
SID20183997,Sem_5,80,61,90,94,60,80,96,80.14285714,561,IDEPT8598,ME ,A
SID20189040,Sem_6,82,64,90,81,98,76,70,80.14285714,561,IDEPT8473,ME ,A
SID20181849,Sem_6,94,92,98,45,60,85,86,80,560,IDEPT3868,ME ,A
SID20156733,Sem_6,69,97,45,93,73,91,91,79.85714286,559,IDEPT8473,ME ,A
SID20157994,Sem_6,89,81,93,49,66,85,95,79.71428571,558,IDEPT8598,ME ,A
SID20173543,Sem_6,100,96,81,72,73,89,47,79.71428571,558,IDEPT8598,ME ,A
SID20173543,Sem_6,100,96,81,72,73,89,47,79.71428571,558,IDEPT8598,ME ,A
SID20183160,Sem_5,83,100,62,67,67,79,99,79.57142857,557,IDEPT8473,ME ,A
SID20153161,Sem_5,73,94,60,94,96,43,97,79.57142857,557,IDEPT2601,ME ,A
SID20134016,Sem_6,,77,87,57,91,89,76,79.5,477,IDEPT3868,ME ,A
SID20138788,Sem_5,62,83,91,79,64,92,85,79.42857143,556,IDEPT8473,ME ,A
SID20138867,Sem_6,71,89,68,57,100,86,85,79.42857143,556,IDEPT8598,ME ,A
SID20176866,Sem_6,82,100,98,66,83,72,54,79.28571429,555,IDEPT8598,ME ,A
SID20166276,Sem_6,61,40,97,95,86,79,97,79.28571429,555,IDEPT8473,ME ,A
SID20157195,Sem_5,84,99,79,57,63,83,90,79.28571429,555,IDEPT3868,ME ,A
SID20186342,Sem_6,95,79,88,82,52,91,68,79.28571429,555,IDEPT8598,ME ,A
SID20153364,Sem_6,83,72,73,92,51,97,86,79.14285714,554,IDEPT2601,ME ,A
SID20155054,Sem_6,100,63,76,71,98,49,97,79.14285714,554,IDEPT8598,ME ,A
SID20135072,Sem_5,92,57,89,87,74,75,80,79.14285714,554,IDEPT2601,ME ,A
SID20135919,Sem_5,84,67,54,92,75,96,86,79.14285714,554,IDEPT8473,ME ,A
SID20135919,Sem_5,84,67,54,92,75,96,86,79.14285714,554,IDEPT8473,ME ,A
SID20179830,Sem_5,87,87,41,96,99,51,92,79,553,IDEPT2601,ME ,A
SID20186847,Sem_5,89,91,65,42,91,93,82,79,553,IDEPT3868,ME ,A
SID20157492,Sem_5,85,87,100,94,59,45,83,79,553,IDEPT3868,ME ,A
SID20156025,Sem_6,72,91,85,98,45,81,,78.66666667,472,IDEPT8473,ME ,A
SID20133807,Sem_5,97,68,66,79,92,92,56,78.57142857,550,IDEPT8598,ME ,A
SID20171757,Sem_6,94,90,92,70,57,72,75,78.57142857,550,IDEPT2601,ME ,A
SID20135226,Sem_5,93,54,,81,67,90,86,78.5,471,IDEPT8473,ME ,A
SID20168399,Sem_5,75,72,95,46,89,78,94,78.42857143,549,IDEPT8598,ME ,A
SID20167845,Sem_6,66,75,89,82,94,49,94,78.42857143,549,IDEPT3868,ME ,A
SID20176866,Sem_5,,58,62,93,78,80,99,78.33333333,470,IDEPT8598,ME ,A
SID20138292,Sem_5,52,96,94,51,90,86,79,78.28571429,548,IDEPT3868,ME ,A
SID20131764,Sem_6,95,93,58,74,73,91,64,78.28571429,548,IDEPT8473,ME ,A
SID20148348,Sem_6,81,89,72,80,67,79,80,78.28571429,548,IDEPT2601,ME ,A
SID20131220,Sem_5,78,98,65,76,64,98,69,78.28571429,548,IDEPT2601,ME ,A
SID20137928,Sem_5,80,91,94,55,90,57,81,78.28571429,548,IDEPT2601,ME ,A
SID20133308,Sem_6,70,94,51,62,92,83,95,78.14285714,547,IDEPT8473,ME ,A
SID20144878,Sem_6,95,86,96,26,76,99,69,78.14285714,547,IDEPT3868,ME ,A
SID20163403,Sem_6,84,86,74,80,88,64,70,78,546,IDEPT8598,ME ,A
SID20185345,Sem_5,68,97,90,86,86,,41,78,468,IDEPT2601,ME ,A
SID20183160,Sem_6,95,77,66,99,56,72,80,77.85714286,545,IDEPT8473,ME ,A
SID20138692,Sem_5,91,70,88,56,52,93,94,77.71428571,544,IDEPT8473,ME ,A
SID20167573,Sem_5,66,92,63,74,89,62,98,77.71428571,544,IDEPT2601,ME ,A
SID20131850,Sem_6,94,60,79,78,69,85,79,77.71428571,544,IDEPT2601,ME ,A
