Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_2,78,63,76,62,64,92,99,76.28571429,534,A,Aerospace Engineering
SID20131144,Sem_2,86,69,83,23,71,82,40,64.85714286,454,A,Aerospace Engineering
SID20131145,Sem_2,40,44,52,67,74,53,76,58,406,A,Aerospace Engineering
SID20131146,Sem_2,93,64,42,98,81,96,48,74.57142857,522,A,Aerospace Engineering
SID20131147,Sem_2,90,59,83,20,86,48,58,63.42857143,444,B,Aerospace Engineering
SID20131148,Sem_2,92,93,46,71,53,48,98,71.57142857,501,B,Aerospace Engineering
SID20131149,Sem_2,57,87,99,98,50,46,50,69.57142857,487,B,Aerospace Engineering
SID20131150,Sem_2,89,73,53,50,70,89,91,73.57142857,515,B,Aerospace Engineering
SID20131151,Sem_2,83,55,100,51,54,72,67,68.85714286,482,C,Aerospace Engineering
SID20131152,Sem_2,52,56,93,100,99,42,77,74.14285714,519,C,Aerospace Engineering
SID20131153,Sem_2,71,50,45,80,77,94,89,72.28571429,506,C,Aerospace Engineering
SID20131154,Sem_2,58,53,83,46,83,43,80,63.71428571,446,C,Aerospace Engineering
SID20131155,Sem_2,68,82,44,88,92,86,55,73.57142857,515,C,Aerospace Engineering
SID20131156,Sem_2,89,57,57,72,80,58,86,71.28571429,499,D,Aerospace Engineering
SID20131157,Sem_2,67,66,59,98,51,58,89,69.71428571,488,D,Aerospace Engineering
SID20131158,Sem_2,67,70,57,91,85,72,91,76.14285714,533,D,Aerospace Engineering
SID20131159,Sem_2,80,50,75,63,86,56,80,70,490,D,Aerospace Engineering
SID20131160,Sem_2,77,83,53,93,55,62,50,67.57142857,473,D,Aerospace Engineering
SID20131161,Sem_2,100,55,91,62,29,72,91,71.42857143,500,D,Aerospace Engineering
SID20131162,Sem_2,77,97,73,79,86,85,72,81.28571429,569,D,Aerospace Engineering
