Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_3,55,42,55,55,66,42,,52.5,315,A,Aerospace Engineering
SID20131144,Sem_3,61,93,95,19,72,59,61,65.71428571,460,A,Aerospace Engineering
SID20131145,Sem_3,85,70,59,58,59,47,59,62.42857143,437,A,Aerospace Engineering
SID20131146,Sem_3,75,67,71,58,77,65,90,71.85714286,503,A,Aerospace Engineering
SID20131147,Sem_3,56,89,49,73,45,99,77,69.71428571,488,A,Aerospace Engineering
SID20131148,Sem_3,51,85,99,83,,51,55,70.66666667,424,B,Aerospace Engineering
SID20131149,Sem_3,63,54,53,60,88,61,40,59.85714286,419,B,Aerospace Engineering
SID20131150,Sem_3,63,74,80,56,92,68,47,68.57142857,480,B,Aerospace Engineering
SID20131151,Sem_3,62,69,60,63,90,43,46,61.85714286,433,B,Aerospace Engineering
SID20131152,Sem_3,96,72,89,49,77,45,97,75,525,C,Aerospace Engineering
SID20131153,Sem_3,96,57,49,41,51,47,40,54.42857143,381,C,Aerospace Engineering
SID20131154,Sem_3,44,45,40,85,94,47,73,61.14285714,428,C,Aerospace Engineering
SID20131155,Sem_3,50,68,75,68,62,67,65,65,455,C,Aerospace Engineering
SID20131156,Sem_3,82,72,71,97,41,40,64,66.71428571,467,C,Aerospace Engineering
SID20131157,Sem_3,81,46,66,46,52,62,61,59.14285714,414,D,Aerospace Engineering
SID20131158,Sem_3,91,71,66,58,62,54,52,64.85714286,454,D,Aerospace Engineering
SID20131159,Sem_3,89,42,52,99,86,41,69,68.28571429,478,D,Aerospace Engineering
SID20131160,Sem_3,63,54,100,59,69,47,96,69.71428571,488,D,Aerospace Engineering
SID20131161,Sem_3,62,52,71,56,87,71,77,68,476,D,Aerospace Engineering
SID20131162,Sem_3,89,70,93,91,51,83,58,76.42857143,535,D,Aerospace Engineering
