Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_4,74,68,89,76,73,87,78,77.85714286,545,A,Aerospace Engineering
SID20131144,Sem_4,75,56,51,49,49,97,21,56.85714286,398,A,Aerospace Engineering
SID20131145,Sem_4,50,92,64,82,76,65,58,69.57142857,487,A,Aerospace Engineering
SID20131146,Sem_4,81,89,52,88,52,60,83,72.14285714,505,A,Aerospace Engineering
SID20131147,Sem_4,70,76,74,92,57,43,63,67.85714286,475,A,Aerospace Engineering
SID20131148,Sem_4,97,70,43,59,56,90,43,65.42857143,458,B,Aerospace Engineering
SID20131149,Sem_4,51,92,57,53,82,78,64,68.14285714,477,B,Aerospace Engineering
SID20131150,Sem_4,93,53,40,76,49,76,50,62.42857143,437,B,Aerospace Engineering
SID20131151,Sem_4,92,85,,64,71,46,49,67.83333333,407,B,Aerospace Engineering
SID20131152,Sem_4,41,79,100,53,73,71,74,70.14285714,491,C,Aerospace Engineering
SID20131153,Sem_4,83,91,69,45,96,83,74,77.28571429,541,C,Aerospace Engineering
SID20131154,Sem_4,92,66,62,53,100,96,,78.16666667,469,C,Aerospace Engineering
SID20131155,Sem_4,84,61,45,57,50,51,91,62.71428571,439,C,Aerospace Engineering
SID20131156,Sem_4,98,41,44,47,71,65,70,62.28571429,436,C,Aerospace Engineering
SID20131157,Sem_4,87,77,95,86,91,64,42,77.42857143,542,D,Aerospace Engineering
SID20131158,Sem_4,77,40,48,55,55,88,67,61.42857143,430,D,Aerospace Engineering
SID20131159,Sem_4,21,93,52,69,83,88,97,71.85714286,503,D,Aerospace Engineering
SID20131160,Sem_4,78,98,65,76,64,98,69,78.28571429,548,D,Aerospace Engineering
SID20131161,Sem_4,79,85,74,82,78,41,68,72.42857143,507,D,Aerospace Engineering
SID20131162,Sem_4,49,52,92,48,96,69,64,67.14285714,470,D,Aerospace Engineering
