Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20158184,Sem_4,92.0,97.0,93.0,81.0,92.0,82.0,,89.5,537,IDEPT1537,Aerospace Engineering,A
SID20173037,Sem_4,80.0,86.0,95.0,92.0,95.0,82.0,93.0,89.0,623,IDEPT5881,Aerospace Engineering,A
SID20154009,Sem_4,88.0,100.0,100.0,95.0,69.0,76.0,90.0,88.28571429,618,IDEPT4938,Aerospace Engineering,A
SID20146319,Sem_4,96.0,59.0,95.0,91.0,99.0,80.0,94.0,87.71428571,614,IDEPT4938,Aerospace Engineering,A
SID20159002,Sem_4,97.0,89.0,94.0,94.0,77.0,74.0,87.0,87.42857143,612,IDEPT1537,Aerospace Engineering,A
SID20178206,Sem_4,85.0,97.0,93.0,99.0,97.0,44.0,,85.83333333,515,IDEPT2054,Aerospace Engineering,A
SID20134249,Sem_4,68.0,77.0,79.0,97.0,94.0,94.0,90.0,85.57142857,599,IDEPT2054,Aerospace Engineering,A
SID20171741,Sem_4,60.0,80.0,91.0,99.0,,87.0,96.0,85.5,513,IDEPT2357,Aerospace Engineering,A
SID20178877,Sem_4,81.0,,88.0,96.0,84.0,75.0,87.0,85.16666667,511,IDEPT1423,Aerospace Engineering,A
SID20152580,Sem_4,88.0,85.0,74.0,72.0,98.0,92.0,85.0,84.85714286,594,IDEPT1537,Aerospace Engineering,A
SID20145547,Sem_4,79.0,100.0,95.0,63.0,99.0,55.0,100.0,84.42857143,591,IDEPT4938,Aerospace Engineering,A
SID20144670,Sem_4,95.0,93.0,,83.0,96.0,79.0,58.0,84.0,504,IDEPT4938,Aerospace Engineering,A
SID20161509,Sem_4,82.0,68.0,98.0,82.0,61.0,95.0,97.0,83.28571429,583,IDEPT4938,Aerospace Engineering,A
SID20141776,Sem_4,48.0,98.0,98.0,94.0,94.0,58.0,91.0,83.0,581,IDEPT4132,Aerospace Engineering,A
SID20133729,Sem_4,88.0,49.0,96.0,,76.0,96.0,92.0,82.83333333,497,IDEPT5528,Aerospace Engineering,A
SID20161237,Sem_4,59.0,75.0,91.0,99.0,77.0,82.0,96.0,82.71428571,579,IDEPT4670,Aerospace Engineering,A
SID20149518,Sem_4,68.0,94.0,93.0,57.0,80.0,88.0,98.0,82.57142857,578,IDEPT5881,Aerospace Engineering,A
SID20161530,Sem_4,76.0,48.0,96.0,78.0,100.0,100.0,80.0,82.57142857,578,IDEPT2054,Aerospace Engineering,A
SID20187703,Sem_4,96.0,90.0,95.0,61.0,93.0,61.0,82.0,82.57142857,578,IDEPT4938,Aerospace Engineering,A
SID20163252,Sem_4,48.0,92.0,100.0,92.0,,97.0,66.0,82.5,495,IDEPT5881,Aerospace Engineering,A
SID20156528,Sem_4,59.0,79.0,81.0,92.0,,93.0,90.0,82.33333333,494,IDEPT2357,Aerospace Engineering,A
SID20168931,Sem_4,96.0,89.0,99.0,93.0,43.0,63.0,93.0,82.28571429,576,IDEPT4132,Aerospace Engineering,A
SID20163180,Sem_4,67.0,80.0,92.0,99.0,91.0,69.0,78.0,82.28571429,576,IDEPT4670,Aerospace Engineering,A
SID20155559,Sem_4,,98.0,67.0,93.0,97.0,64.0,74.0,82.16666667,493,IDEPT3115,Aerospace Engineering,A
SID20148587,Sem_4,61.0,96.0,64.0,77.0,,100.0,95.0,82.16666667,493,IDEPT4670,Aerospace Engineering,A
SID20158712,Sem_4,87.0,89.0,48.0,96.0,81.0,,92.0,82.16666667,493,IDEPT1537,Aerospace Engineering,A
SID20166813,Sem_4,88.0,90.0,75.0,62.0,89.0,93.0,78.0,82.14285714,575,IDEPT4132,Aerospace Engineering,A
SID20163549,Sem_4,97.0,90.0,100.0,61.0,72.0,91.0,64.0,82.14285714,575,IDEPT4670,Aerospace Engineering,A
SID20167289,Sem_4,97.0,82.0,99.0,55.0,96.0,83.0,63.0,82.14285714,575,IDEPT4132,Aerospace Engineering,A
SID20144160,Sem_4,64.0,78.0,86.0,68.0,92.0,90.0,96.0,82.0,574,IDEPT5881,Aerospace Engineering,A
SID20144160,Sem_4,64.0,78.0,86.0,68.0,92.0,90.0,96.0,82.0,574,IDEPT5881,Aerospace Engineering,A
SID20158893,Sem_4,85.0,98.0,60.0,60.0,97.0,94.0,80.0,82.0,574,IDEPT4670,Aerospace Engineering,A
SID20154539,Sem_4,100.0,57.0,71.0,85.0,72.0,92.0,97.0,82.0,574,IDEPT4670,Aerospace Engineering,A
SID20131433,Sem_4,89.0,92.0,79.0,80.0,95.0,78.0,61.0,82.0,574,IDEPT3115,Aerospace Engineering,A
SID20172235,Sem_4,88.0,87.0,92.0,82.0,84.0,89.0,51.0,81.85714286,573,IDEPT5881,Aerospace Engineering,A
SID20139125,Sem_4,,82.0,79.0,91.0,75.0,74.0,90.0,81.83333333,491,IDEPT4670,Aerospace Engineering,A
SID20135211,Sem_4,62.0,94.0,98.0,81.0,46.0,97.0,94.0,81.71428571,572,IDEPT4670,Aerospace Engineering,A
SID20185092,Sem_4,84.0,79.0,97.0,84.0,69.0,85.0,74.0,81.71428571,572,IDEPT3115,Aerospace Engineering,A
SID20171578,Sem_4,83.0,98.0,62.0,69.0,99.0,91.0,69.0,81.57142857,571,IDEPT3115,Aerospace Engineering,A
SID20176207,Sem_4,75.0,97.0,76.0,43.0,95.0,99.0,86.0,81.57142857,571,IDEPT5528,Aerospace Engineering,A
SID20144729,Sem_4,99.0,63.0,93.0,,67.0,73.0,94.0,81.5,489,IDEPT4670,Aerospace Engineering,A
SID20143524,Sem_4,92.0,88.0,84.0,74.0,75.0,73.0,84.0,81.42857143,570,IDEPT1423,Aerospace Engineering,A
SID20166911,Sem_4,77.0,93.0,89.0,50.0,94.0,71.0,96.0,81.42857143,570,IDEPT5528,Aerospace Engineering,A
SID20143162,Sem_4,95.0,95.0,89.0,84.0,66.0,77.0,63.0,81.28571429,569,IDEPT1537,Aerospace Engineering,A
SID20138442,Sem_4,85.0,54.0,76.0,67.0,95.0,99.0,93.0,81.28571429,569,IDEPT5881,Aerospace Engineering,A
SID20188081,Sem_4,47.0,78.0,84.0,,87.0,95.0,96.0,81.16666667,487,IDEPT2054,Aerospace Engineering,A
SID20165383,Sem_4,56.0,89.0,63.0,84.0,91.0,98.0,87.0,81.14285714,568,IDEPT4670,Aerospace Engineering,A
SID20131823,Sem_4,53.0,85.0,96.0,74.0,96.0,80.0,84.0,81.14285714,568,IDEPT5881,Aerospace Engineering,A
