Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_6,88,,56,77,47,93,82,73.83333333,443,A,Aerospace Engineering
SID20131144,Sem_6,51,49,46,98,80,71,74,67,469,A,Aerospace Engineering
SID20131145,Sem_6,55,43,79,60,74,76,82,67,469,A,Aerospace Engineering
SID20131146,Sem_6,24,79,90,54,66,41,89,63.28571429,443,A,Aerospace Engineering
SID20131147,Sem_6,48,71,54,50,40,60,66,55.57142857,389,A,Aerospace Engineering
SID20131148,Sem_6,47,68,46,86,66,90,75,68.28571429,478,B,Aerospace Engineering
SID20131149,Sem_6,44,87,99,65,65,40,86,69.42857143,486,B,Aerospace Engineering
SID20131150,Sem_6,69,99,97,82,99,49,80,82.14285714,575,B,Aerospace Engineering
SID20131151,Sem_6,81,97,69,96,59,70,,78.66666667,472,B,Aerospace Engineering
SID20131152,Sem_6,96,58,74,78,63,75,98,77.42857143,542,C,Aerospace Engineering
SID20131153,Sem_6,66,65,83,67,95,57,69,71.71428571,502,C,Aerospace Engineering
SID20131154,Sem_6,40,56,83,51,54,55,83,60.28571429,422,C,Aerospace Engineering
SID20131155,Sem_6,73,93,90,48,58,78,61,71.57142857,501,C,Aerospace Engineering
SID20131156,Sem_6,86,73,87,61,77,89,50,74.71428571,523,C,Aerospace Engineering
SID20131157,Sem_6,94,80,61,91,63,91,93,81.85714286,573,D,Aerospace Engineering
SID20131158,Sem_6,72,81,70,60,81,54,83,71.57142857,501,D,Aerospace Engineering
SID20131159,Sem_6,97,87,47,,46,63,86,71,426,D,Aerospace Engineering
SID20131160,Sem_6,48,26,67,89,90,25,42,55.28571429,387,D,Aerospace Engineering
SID20131161,Sem_6,72,91,63,61,70,21,99,68.14285714,477,D,Aerospace Engineering
SID20131162,Sem_6,45,80,65,86,93,50,45,66.28571429,464,D,Aerospace Engineering
